0.0s - 4.0s: 同学们,我们生活在一个充满声音和光的世界里
4.0s - 7.4s: 此刻,大家能够听到老师讲课的声音
7.4s - 10.5s: 也能看到周围的同学和其他物体
10.5s - 14.0s: 想象一下,如果在一个非常黑暗的环境里
14.0s - 16.0s: 我们还能看得清得清
16.0s - 19.0s: 所以,我们通过视觉
19.0s - 22.0s: 视觉来观察这个世界需要借助于
22.0s - 23.0s: 光
23.0s - 26.5s: 光不仅能给我们带来光明和温暖
26.5s - 29.5s: 更给我们带来了许多眩眉多彩的景象
29.5s - 33.0s: 比如今年上海举办的手机国际关节
33.0s - 36.0s: 让我们一起来欣赏其中的一期精彩片段
60.0s - 62.0s: 同学们,看完了有什么感受
63.0s - 64.0s: 修过
64.0s - 65.0s: 让人震撼
65.0s - 66.0s: 很震撼
66.0s - 69.0s: 其实,这些光影现象
69.0s - 71.0s: 都是根据光学原理
71.0s - 73.0s: 结合了现代的一些数字技术
73.0s - 74.5s: 从而呈现出来的
74.5s - 77.0s: 那么,今天老师带来一个魔法旧
77.0s - 80.5s: 我们用它来重现其中的一些光影景象
80.5s - 82.5s: 首先,打开开关
83.5s - 85.0s: 同学们,看到了什么?
86.0s - 87.5s: 也就是
88.5s - 90.5s: 不同颜色的光
96.5s - 98.5s: 这是我们的魔法旧
98.5s - 100.5s: 不透明的旧
100.5s - 102.5s: 这边看到了什么?
103.5s - 104.5s: 观察到什么?
104.5s - 106.5s: 好多光
106.5s - 108.5s: 除了好多光,还有什么?
108.5s - 109.5s: 光点
109.5s - 110.5s: 光点,还有什么?
110.5s - 112.5s: 在转
112.5s - 114.5s: 还有什么?
114.5s - 115.5s: 影子
115.5s - 116.5s: 还有影子
116.5s - 119.5s: 看到了很多光点,可以影子
120.5s - 122.5s: 那么,这些光影现象
122.5s - 124.5s: 它形成的原理是什么呢?
124.5s - 127.5s: 今天,我们一起来学习光影现象
146.5s - 148.5s: 好了,同学们
148.5s - 150.5s: 首先,先思考一下
150.5s - 152.5s: 刚才的光是怎么来的
155.5s - 156.5s: 这是个什么?
156.5s - 157.5s: 再看一下
157.5s - 159.5s: 哦,这是个灯
159.5s - 161.5s: 那么,生活中,想一想
161.5s - 163.5s: 光,还有哪些来源?
163.5s - 164.5s: 太阳
164.5s - 166.5s: 太阳,还有吗?
167.5s - 168.5s: 路灯
169.5s - 171.5s: 火,火把
173.5s - 174.5s: 说一下什么?
175.5s - 177.5s: 有一些发光的生物,比如
177.5s - 178.5s: 萤火虫
178.5s - 179.5s: 萤火虫
179.5s - 180.5s: 还有一些
180.5s - 181.5s: 断路
181.5s - 182.5s: 断路鱼,等等
182.5s - 184.5s: 还有一些发光的藻类
184.5s - 186.5s: 很好,我们来看一下
186.5s - 188.5s: 同学们说的,太阳
188.5s - 189.5s: 萤火虫
189.5s - 191.5s: 一些发光的藻类
